Filename,Scale,Raga
Maalai En Vethanai 2,D#,Dheerashankarabharanam
Maalai En Vethanai 3,E,Dheerashankarabharanam
Maalai En Vethanai 4,F,Dheerashankarabharanam
Maalai En Vethanai 5,F#,Dheerashankarabharanam
Maalai En Vethanai 6,G,Dheerashankarabharanam
Maalai En Vethanai 7,Ab,Dheerashankarabharanam
Maalai En Vethanai 8,A,Dheerashankarabharanam
Maalai En Vethanai 9,Bb,Dheerashankarabharanam
Maalai En Vethanai 10,B,Dheerashankarabharanam
Maalai En Vethanai 11,C,Dheerashankarabharanam
Maalai En Vethanai 12,C#,Dheerashankarabharanam
Vazhimel Vizhiyaal 1,D#,Gamanashama
Vazhimel Vizhiyaal 2,E,Gamanashama
Vazhimel Vizhiyaal 3,F,Gamanashama
Vazhimel Vizhiyaal 4,F#,Gamanashama
Vazhimel Vizhiyaal 5,G,Gamanashama
Vazhimel Vizhiyaal 6,Ab,Gamanashama
Vazhimel Vizhiyaal 7,Ab,Gamanashama
Vazhimel Vizhiyaal 8,Bb,Gamanashama
Vazhimel Vizhiyaal 9,Bb,Gamanashama
Vazhimel Vizhiyaal 10,C,Gamanashama
Vazhimel Vizhiyaal 11,C#,Gamanashama
Vazhimel Vizhiyaal 12,D,Gamanashama
Megam Karukuthu 1,G,Hanumatodi
Megam Karukuthu 2,Ab,Hanumatodi
Megam Karukuthu 3,A,Hanumatodi
Megam Karukuthu 4,Bb,Hanumatodi
Megam Karukuthu 5,B,Hanumatodi
Megam Karukuthu 6,C,Hanumatodi
Megam Karukuthu 7,C#,Hanumatodi
Megam Karukuthu 8,D,Hanumatodi
Megam Karukuthu 9,D#,Hanumatodi
Megam Karukuthu 10,E,Hanumatodi
Megam Karukuthu 11,F,Hanumatodi
Megam Karukuthu 12,F#,Hanumatodi
En Kadhale 1,E,Harikhamboji
En Kadhale 2,F,Harikhamboji
En Kadhale 3,F#,Harikhamboji
En Kadhale 4,G,Harikhamboji
En Kadhale 5,Ab,Harikhamboji
En Kadhale 6,A,Harikhamboji
En Kadhale 7,Bb,Harikhamboji
En Kadhale 8,B,Harikhamboji
En Kadhale 9,C,Harikhamboji
En Kadhale 10,C#,Harikhamboji
En Kadhale 11,D,Harikhamboji
En Kadhale 12,D#,Harikhamboji
Mun Andhi 1,E,Kalyani
Mun Andhi 2,F,Kalyani
Mun Andhi 3,F#,Kalyani
Mun Andhi 4,G,Kalyani
Mun Andhi 5,Ab,Kalyani
Mun Andhi 6,A,Kalyani
Mun Andhi 7,Bb,Kalyani
Mun Andhi 8,B,Kalyani
Mun Andhi 9,C,Kalyani
Mun Andhi 10,C#,Kalyani
Mun Andhi 11,D,Kalyani
Mun Andhi 12,D#,Kalyani
Om Sivoham 1,C#,Kamarvardhani
Om Sivoham 2,D,Kamarvardhani
Om Sivoham 3,D#,Kamarvardhani
Om Sivoham 4,E,Kamarvardhani
Om Sivoham 5,F,Kamarvardhani
Om Sivoham 6,F#,Kamarvardhani
Om Sivoham 7,G,Kamarvardhani
Om Sivoham 8,Ab,Kamarvardhani
Om Sivoham 9,A,Kamarvardhani
Om Sivoham 10,Bb,Kamarvardhani
Om Sivoham 11,B,Kamarvardhani
Om Sivoham 12,C,Kamarvardhani
Vinmeen Vithaiyil 1,E,Karaharapriya
Vinmeen Vithaiyil 2,F,Karaharapriya
Vinmeen Vithaiyil 3,F#,Karaharapriya
Vinmeen Vithaiyil 4,G,Karaharapriya
Vinmeen Vithaiyil 5,Ab,Karaharapriya
Vinmeen Vithaiyil 6,Ab,Karaharapriya
Vinmeen Vithaiyil 7,Bb,Karaharapriya
Vinmeen Vithaiyil 8,Bb,Karaharapriya
Vinmeen Vithaiyil 9,C,Karaharapriya
Vinmeen Vithaiyil 10,C#,Karaharapriya
Vinmeen Vithaiyil 11,D,Karaharapriya
Vinmeen Vithaiyil 12,D#,Karaharapriya
En Thaayenum Koil 1,D#,Mayamalavagowlai
En Thaayenum Koil 2,E,Mayamalavagowlai
En Thaayenum Koil 3,F,Mayamalavagowlai
En Thaayenum Koil 4,F#,Mayamalavagowlai
En Thaayenum Koil 5,G,Mayamalavagowlai
En Thaayenum Koil 6,Ab,Mayamalavagowlai
En Thaayenum Koil 7,A,Mayamalavagowlai
En Thaayenum Koil 8,Bb,Mayamalavagowlai
En Thaayenum Koil 9,B,Mayamalavagowlai
En Thaayenum Koil 10,C,Mayamalavagowlai
En Thaayenum Koil 11,C#,Mayamalavagowlai
En Thaayenum Koil 12,D,Mayamalavagowlai
Irava Pagala 1,F,Natabhairavi
Irava Pagala 2,F#,Natabhairavi
Irava Pagala 3,G,Natabhairavi
Irava Pagala 4,Ab,Natabhairavi
Irava Pagala 5,A,Natabhairavi
Irava Pagala 6,Bb,Natabhairavi
Irava Pagala 7,B,Natabhairavi
Irava Pagala 8,C,Natabhairavi
Irava Pagala 9,C#,Natabhairavi
Irava Pagala 10,D,Natabhairavi
Irava Pagala 11,D#,Natabhairavi
Irava Pagala 12,E,Natabhairavi
Aayiram Thamarai 1,C,Shubhapantuvarali
Aayiram Thamarai 2,C#,Shubhapantuvarali
Aayiram Thamarai 3,D,Shubhapantuvarali
Aayiram Thamarai 4,D#,Shubhapantuvarali
Aayiram Thamarai 5,E,Shubhapantuvarali
Aayiram Thamarai 6,F,Shubhapantuvarali
Aayiram Thamarai 7,F#,Shubhapantuvarali
Aayiram Thamarai 8,G,Shubhapantuvarali
Aayiram Thamarai 9,Ab,Shubhapantuvarali
Aayiram Thamarai 10,A,Shubhapantuvarali
Aayiram Thamarai 11,Bb,Shubhapantuvarali
Aayiram Thamarai 12,B,Shubhapantuvarali
Maalai En Vethanai 1,D,Dheerashankarabharanam
Rakita Rakita Rakita 1,F,Dheerashankarabharanam
Rakita Rakita Rakita 2,F#,Dheerashankarabharanam
Rakita Rakita Rakita 3,G,Dheerashankarabharanam
Rakita Rakita Rakita 4,Ab,Dheerashankarabharanam
Rakita Rakita Rakita 5,A,Dheerashankarabharanam
Rakita Rakita Rakita 6,Bb,Dheerashankarabharanam
Rakita Rakita Rakita 7,B,Dheerashankarabharanam
Rakita Rakita Rakita 8,C,Dheerashankarabharanam
Rakita Rakita Rakita 9,C#,Dheerashankarabharanam
Rakita Rakita Rakita 10,D,Dheerashankarabharanam
Rakita Rakita Rakita 11,D#,Dheerashankarabharanam
Rakita Rakita Rakita 12,E,Dheerashankarabharanam
Usurae Poguthey 1,A,Hanumatodi
Usurae Poguthey 2,Bb,Hanumatodi
Usurae Poguthey 3,B,Hanumatodi
Usurae Poguthey 4,C,Hanumatodi
Usurae Poguthey 5,C#,Hanumatodi
Usurae Poguthey 6,D,Hanumatodi
Usurae Poguthey 7,D#,Hanumatodi
Usurae Poguthey 8,E,Hanumatodi
Usurae Poguthey 9,F,Hanumatodi
Usurae Poguthey 10,F#,Hanumatodi
Usurae Poguthey 11,G,Hanumatodi
Usurae Poguthey 12,Ab,Hanumatodi
Uyire Uyire 1,D#,Harikhamboji
Uyire Uyire 2,E,Harikhamboji
Uyire Uyire 3,F,Harikhamboji
Uyire Uyire 4,F#,Harikhamboji
Uyire Uyire 5,G,Harikhamboji
Uyire Uyire 6,Ab,Harikhamboji
Uyire Uyire 7,Ab,Harikhamboji
Uyire Uyire 8,Bb,Harikhamboji
Uyire Uyire 9,Bb,Harikhamboji
Uyire Uyire 10,C,Harikhamboji
Uyire Uyire 11,C#,Harikhamboji
Uyire Uyire 12,D,Harikhamboji
Sara Sara Saara Kathu 1,B,Kalyani
Sara Sara Saara Kathu 2,C,Kalyani
Sara Sara Saara Kathu 3,C#,Kalyani
Sara Sara Saara Kathu 4,D,Kalyani
Sara Sara Saara Kathu 5,D#,Kalyani
Sara Sara Saara Kathu 6,E,Kalyani
Sara Sara Saara Kathu 7,F,Kalyani
Sara Sara Saara Kathu 8,F#,Kalyani
Sara Sara Saara Kathu 9,G,Kalyani
Sara Sara Saara Kathu 10,Ab,Kalyani
Sara Sara Saara Kathu 11,A,Kalyani
Sara Sara Saara Kathu 12,Bb,Kalyani
Poovum Malarnthida 1,D,Kamarvardhani
Poovum Malarnthida 2,D#,Kamarvardhani
Poovum Malarnthida 3,E,Kamarvardhani
Poovum Malarnthida 4,F,Kamarvardhani
Poovum Malarnthida 5,F#,Kamarvardhani
Poovum Malarnthida 6,G,Kamarvardhani
Poovum Malarnthida 7,Ab,Kamarvardhani
Poovum Malarnthida 8,A,Kamarvardhani
Poovum Malarnthida 9,Bb,Kamarvardhani
Poovum Malarnthida 10,B,Kamarvardhani
Poovum Malarnthida 11,C,Kamarvardhani
Poovum Malarnthida 12,C#,Kamarvardhani
Yaar Ezhudhiyadho 1,E,Karaharapriya
Yaar Ezhudhiyadho 2,F,Karaharapriya
Yaar Ezhudhiyadho 3,F#,Karaharapriya
Yaar Ezhudhiyadho 4,G,Karaharapriya
Yaar Ezhudhiyadho 5,Ab,Karaharapriya
Yaar Ezhudhiyadho 6,Ab,Karaharapriya
Yaar Ezhudhiyadho 7,Bb,Karaharapriya
Yaar Ezhudhiyadho 8,Bb,Karaharapriya
Yaar Ezhudhiyadho 9,C,Karaharapriya
Yaar Ezhudhiyadho 10,C#,Karaharapriya
Yaar Ezhudhiyadho 11,D,Karaharapriya
Yaar Ezhudhiyadho 12,D#,Karaharapriya
Poongathavae 1,C#,Mayamalavagowlai
Poongathavae 2,D,Mayamalavagowlai
Poongathavae 3,D#,Mayamalavagowlai
Poongathavae 4,E,Mayamalavagowlai
Poongathavae 5,F,Mayamalavagowlai
Poongathavae 6,F#,Mayamalavagowlai
Poongathavae 7,G,Mayamalavagowlai
Poongathavae 8,Ab,Mayamalavagowlai
Poongathavae 9,A,Mayamalavagowlai
Poongathavae 10,Bb,Mayamalavagowlai
Poongathavae 11,B,Mayamalavagowlai
Poongathavae 12,C,Mayamalavagowlai
Kadhale Kadhale 1,A,Natabhairavi
Kadhale Kadhale 2,Bb,Natabhairavi
Kadhale Kadhale 3,B,Natabhairavi
Kadhale Kadhale 4,C,Natabhairavi
Kadhale Kadhale 5,C#,Natabhairavi
Kadhale Kadhale 6,D,Natabhairavi
Kadhale Kadhale 7,D#,Natabhairavi
Kadhale Kadhale 8,E,Natabhairavi
Kadhale Kadhale 9,F,Natabhairavi
Kadhale Kadhale 10,F#,Natabhairavi
Kadhale Kadhale 11,G,Natabhairavi
Kadhale Kadhale 12,Ab,Natabhairavi